88,83,81
31,38,12
28,25,100
52,6,29
47,63,44
65,92,65
34,68,44
54,41,6
67,90,92
93,39,34
9,69,39
79,29,87
79,80,48
53,67,88
85,45,35
23,30,25
6,2,93
45,88,53
19,79,85
86,26,86
56,76,77
60,66,74
73,99,46
19,14,36
8,33,79
41,100,99
18,89,26
37,88,87
12,82,43
56,14,83
6,8,25
77,47,48
41,17,76
11,79,63
16,45,10
67,5,59
30,86,37
94,2,70
70,66,88
26,2,84
62,39,66
32,51,65
31,12,62
99,9,54
0,84,33
1,81,66
15,69,95
48,45,76
69,0,71
5,90,44
8,100,65
58,5,24
77,15,29
55,54,48
40,8,31
12,30,39
92,70,48
42,14,35
51,69,24
76,31,84
87,63,20
83,2,88
44,11,15
41,32,6
72,29,43
21,97,59
54,100,14
36,49,16
56,68,53
90,46,79
84,41,60
94,39,46
96,67,8
39,85,55
66,1,97
57,92,98
79,1,67
3,71,49
76,99,4
78,32,37
72,66,37
83,63,44
75,32,68
95,60,59
5,9,58
34,1,26
75,66,32
75,33,82
56,34,96
1,16,7
28,83,23
60,76,81
77,92,44
47,40,76
61,71,54
95,30,9
57,94,85
29,55,43
71,28,90
34,89,89
